name,email,ps1
Applejack,applejack@ponyville.edu,A
Shining Armor,shining.armor@ponyville.edu,B
Apple Bloom,apple.bloom@ponyville.edu,C
Princess Cadance,princess.cadance@ponyville.edu,D
Cheerilee,cheerilee@ponyville.edu,E
Scootaloo,scootaloo@ponyville.edu,F
Fluttershy,fluttershy@ponyville.edu,G
Nightmare Moon,nightmare.moon@ponyville.edu,H
Big McIntosh,big.mcintosh@ponyville.edu,A
Daring Do,daring.do@ponyville.edu,B
Pinkie Pie,pinkie.pie@ponyville.edu,C
Zecora,zecora@ponyville.edu,D
Mayor Mare,mayor.mare@ponyville.edu,E
Rainbow Dash,rainbow.dash@ponyville.edu,F
Granny Smith,granny.smith@ponyville.edu,G
Princess Celestia,princess.celestia@ponyville.edu,H
Spike,spike@ponyville.edu,A
Sweetie Belle,sweetie.belle@ponyville.edu,B
Rarity,rarity@ponyville.edu,C
Starlight Glimmer,starlight.glimmer@ponyville.edu,D
Cranky Doodle,cranky.doodle@ponyville.edu,E
Discord,discord@ponyville.edu,F
Princess Luna,princess.luna@ponyville.edu,G
Twilight Sparkle,twilight.sparkle@ponyville.edu,H
