first last email ps1
Shining Armor shining.armor@ponyville.edu A
Princess Cadance princess.cadance@ponyville.edu A
Granny Smith granny.smith@ponyville.edu A
Rainbow Dash rainbow.dash@ponyville.edu B
Daring Do daring.do@ponyville.edu B
Nightmare Moon nightmare.moon@ponyville.edu B
Cheerilee NA cheerilee@ponyville.edu C
Scootaloo NA scootaloo@ponyville.edu C
Mayor Mare mayor.mare@ponyville.edu C
Zecora NA zecora@ponyville.edu D
Apple Bloom apple.bloom@ponyville.edu D
Cranky Doodle cranky.doodle@ponyville.edu D
Applejack NA applejack@ponyville.edu E
Fluttershy NA fluttershy@ponyville.edu E
Starlight Glimmer starlight.glimmer@ponyville.edu E
Discord NA discord@ponyville.edu F
Rarity NA rarity@ponyville.edu F
Princess Celestia princess.celestia@ponyville.edu F
Spike NA spike@ponyville.edu G
Princess Luna princess.luna@ponyville.edu G
Pinkie Pie pinkie.pie@ponyville.edu G
Sweetie Belle sweetie.belle@ponyville.edu H
Big McIntosh big.mcintosh@ponyville.edu H
Twilight Sparkle twilight.sparkle@ponyville.edu H
